ID,Custom ID,Name,Date of Birth,Hometown,Current Position
1212,PER00059,Ông Bùi Quang Tạo (Từ 4-1958),,,Bộ trưởng  Bộ Kiến trúc
1213,PER00060,Ông Lê Thanh Nghị (Từ 9-1955),,,Bộ trưởng  Bộ Công nghiệp
1214,PER00061,Ông Phan Anh (Từ 9-1955 Đến 4-1958),,,Bộ trưởng  Bộ Thương nghiệp
1215,PER00062,Ông Đỗ Mười (Từ 4-1958),,,Bộ trưởng  Bộ Nội thương
1216,PER00063,Ông Phan Anh (Từ 4-1958),,,Bộ trưởng  Bộ Ngoại thương
1217,PER00064,Ông Hoàng Tích Trí (Đến 5-1959),,,Bộ trưởng  Bộ Y tế
1218,PER00065,Ông Phạm Ngọc Thạch (Từ 5-1959),,,Bộ trưởng  Bộ Y tế
1219,PER00066,Ông Vũ Đình Hòe,,,Bộ trưởng  Bộ Tư pháp
1220,PER00067,Ông Hoàng Minh Giám,,,Bộ trưởng  Bộ Văn hoá
1221,PER00068,"Ông Vũ Đình Tụng (Đến 5-1959, Vì Giải Thể)",,,Bộ trưởng  Bộ Thương binh
1222,PER00069,"Ông Nguyễn Xiển (Từ 9-1955 Đến 5-1959, Vì Giải Thể)",,,Bộ trưởng  Bộ Cứu tế
1223,PER00070,Ông Nghiêm Xuân Yêm,,,Bộ trưởng phụ trách  Khoa học và Kỹ thuật Nông nghiệp
1224,PER00071,Ông Phạm Hùng (Từ 9-1955 Đến 4-1958),,,Bộ trưởng  Phủ Thủ tướng
1225,PER00072,Ông Nguyễn Duy Trinh (Từ 4-1958 Đến 12-1958),,,Bộ trưởng  Phủ Thủ tướng
1226,PER00073,Ông Nguyễn Khang (Từ 5-1959),,,Bộ trưởng  Phủ Thủ tướng
1227,PER00074,Ông Nguyễn Văn Trân (Từ 4-1958 Đến 12-1958),,,Chủ nhiệm  Ủy ban Kế hoạch Nhà nước
1228,PER00075,Ông Nguyễn Duy Trinh (Từ 5-1959),,,Chủ nhiệm  Ủy ban Kế hoạch Nhà nước
1229,PER00076,Ông Lê Văn Hiến (Từ 12-1958),,,"Bộ trưởng, Phó Chủ nhiệm   Ủy ban Kế hoạch Nhà nước"
1230,PER00077,Ông Trường Chinh (Phó Thủ Tướng Kiêm Chức Từ 4-1958),,,Chủ nhiệm  Ủy ban Khoa học Nhà nước
1231,PER00078,Ông Phạm Hùng,,,Phó Thủ tướng
1232,PER00079,Ông Phan Kế Toại,,,Phó Thủ tướng
1233,PER00080,Ông Nguyễn Duy Trinh,,,Phó Thủ tướng
1234,PER00081,Ông Lê Thanh Nghị,,,Phó Thủ tướng
1235,PER00082,Ông Trần Hữu Dực (Từ Tháng 1-1963),,,Chủ nhiệm  Văn phòng Nông nghiệp
1236,PER00083,Ông Phạm Hùng (Đến Tháng 1-1963),,,Chủ nhiệm  Văn phòng Nông nghiệp
1237,PER00084,Ông Hoàng Anh (Đến Tháng 1-1963),,,Chủ nhiệm  Văn phòng Tài chính-Thương nghiệp
1238,PER00085,Ông Phạm Hùng (Từ Tháng 1-1963),,,Chủ nhiệm  Văn phòng Tài chính-Thương nghiệp
1239,PER00086,Ông Tố Hữu (Đến Tháng 1-1963),,,Chủ nhiệm  Văn phòng Văn giáo
1240,PER00087,Ông Lê Liêm (Từ Tháng 1-1963),,,Chủ nhiệm  Văn phòng Văn giáo
1241,PER00088,Ông Nguyễn Khang,,,Bộ trưởng  Phủ Thủ tướng
1242,PER00089,Ông Phan Kế Toại (Đến 30-4-1963),,,Bộ trưởng  Bộ Nội vụ
1243,PER00090,Ông Ung Văn Khiêm (Từ 30-4-1963),,,Bộ trưởng  Bộ Nội vụ
1244,PER00091,Ông Phạm Văn Đồng (Thủ Tướng Kiêm Chức Đến 2-1961),,,Bộ trưởng  Bộ Ngoại Giao
1245,PER00092,Ông Ung Văn Khiêm (Từ 2-1961 Đến 30-4-1963),,,Bộ trưởng  Bộ Ngoại giao
1246,PER00093,Ông Xuân Thủy (Từ 30-4-1963),,,Bộ trưởng  Bộ Ngoại giao
1247,PER00094,Ông Nghiêm Xuân Yêm (Đến 1-1963),,,Bộ trưởng  Bộ Nông nghiệp
1248,PER00095,Ông Dương Quốc Chính (Từ 1-1963),,,Bộ trưởng  Bộ Nông nghiệp
1249,PER00096,Ông Trần Hữu Dực (Đến 1-1963),,,Bộ trưởng  Bộ Nông trường
1250,PER00097,Ông Nghiêm Xuân Yêm (Từ 1-1963),,,Bộ trưởng  Bộ Nông trường
1251,PER00098,Ông Dương Quốc Chính (Đến 1-1963),,,Bộ trưởng  Bộ Thủy lợi và Điện lực
1252,PER00099,Ông Hà Kế Tấn (Từ 1-1963),,,Bộ trưởng  Bộ Thủy lợi và Điện lực
1253,PER00100,Ông Nguyễn Văn Trân,,,Viện trưởng   Viện Quản lý Kinh tế
1254,PER00101,Ông Kha Vạng Cân,,,Bộ trưởng  Bộ Công nghiệp nhẹ
1255,PER00102,Ông Bùi Quang Tạo,,,Bộ trưởng  Bộ Kiến trúc
1256,PER00103,Ông Phan Trọng Tuệ,,,Phó Thủ tướng
1257,PER00104,Ông Hoàng Anh,,,Phó Thủ tướng
1258,PER00105,Ông Đỗ Mười (Đến 1-1961),,,Bộ trưởng  Bộ Nội thương
1259,PER00106,Ông Nguyễn Thanh Bình (Từ 2-1961 Là Quyền Bộ Trưởng.Từ 1-1963 Là Bộ Trưởng),,,Bộ trưởng  Bộ Nội thương
1260,PER00107,Ông Võ Nguyên Giáp (Phó Thủ Tướng Kiêm Chức Đến 1-1963),,,Chủ nhiệm  Ủy ban Khoa học Nhà nước
1261,PER00108,Ông Nguyễn Duy Trinh (Phó Thủ Tướng Kiêm Chức Từ 1-1963),,,Chủ nhiệm  Ủy ban Khoa học Nhà nước
1262,PER00109,Ông Lê Quảng Ba,,,Chủ nhiệm  Ủy ban Dân tộc Chính phủ
1263,PER00110,Ông Nguyễn Lương Bằng,,,Chủ nhiệm  Ủy ban Thanh tra Chính phủ
1264,PER00111,Ông Nguyễn Văn Vịnh,,,Chủ nhiệm  Ủy ban Thống nhất
1265,PER00112,Ông Tạ Hoàng Cơ (Quyền Tổng Giám Đốc Từ 1-1963),,,Tổng giám đốc  Ngân hàng Nhà nước Việt Nam
1266,PER00113,Ông Lê Viết Lượng (Đến 01-1963),,,Tổng giám đốc  Ngân hàng Nhà nước Việt Nam
1267,PER00114,Ông Nguyễn Côn (Từ 11-1967),,,Phó Thủ tướng
1268,PER00115,Ông Đỗ Mười (Từ 12-1969),,,Phó Thủ tướng
1269,PER00116,Ông Hoàng Anh (Từ 4-1971),,,Phó Thủ tướng
1270,PER00117,Ông Trần Hữu Dực (Đến 4-1965),,,Chủ nhiệm  Văn phòng Nông nghiệp
1271,PER00118,Ông Hoàng Anh (Từ 4-1965 Đến 12-1969),,,Chủ nhiệm  Văn phòng Nông nghiệp
1272,PER00119,Ông Lê Thanh Nghị (Đến 2-1967),,,Chủ nhiệm  Văn phòng Công nghiệp
1273,PER00120,Ông Trần Danh Tuyên (Từ 1967 Đến 12-1969),,,Chủ nhiệm  Văn phòng Công nghiệp
1274,PER00121,Ông Phạm Hùng (Phó Thủ Tướng Kiêm Chức Đến 4-1966),,,Chủ nhiệm  Văn phòng Tài chính-Thương nghiệp
1275,PER00122,Ông Nguyễn Thanh Bình (Từ 4-1966 Đến 12-1969),,,Chủ nhiệm  Văn phòng Tài chính-Thương nghiệp
1276,PER00123,Ông Nguyễn Văn Tạo (Từ 10-1965),,,Chủ nhiệm  Văn phòng Nội chính
1277,PER00124,Ông Trần Quốc Hoàn (Đến 10-1965),,,Chủ nhiệm  Văn phòng Nội chính
1278,PER00125,Ông Lê Liêm (Đến 10-1965),,,Chủ nhiệm  Văn phòng Văn giáo
1279,PER00126,Ông Trần Quang Huy (Từ 10-1965),,,Chủ nhiệm  Văn phòng Văn giáo
1280,PER00127,"Ông Đỗ Mười (Phó Thủ Tướng Kiêm Chức Từ 12-1969, Sau Khi Sáp Nhập Ba Văn Phòng Nông, Công Nghiệp ,",,,Chủ nhiệm  Văn phòng Kinh tế Phủ Thủ tướng
1281,PER00128,Ông Nguyễn Khang (Đến 4-1965),,,Bộ trưởng  Phủ Thủ tướng
1282,PER00129,Ông Trần Hữu Dực (Từ 4-1965),,,Bộ trưởng  Phủ Thủ tướng
1283,PER00130,Ông Xuân Thủy (Từ 1968),,,Bộ trưởng  Chính phủ
1284,PER00131,Ông Ung Văn Khiêm,,,Bộ trưởng  Bộ Nội vụ
1285,PER00132,Ông Xuân Thủy (Đến 4-1965),,,Bộ trưởng  Bộ Ngoại giao
1286,PER00133,Ông Nguyễn Duy Trinh (Phó Thủ Tướng Kiêm Chức Từ 4-1965),,,Bộ trưởng  Bộ Ngoại giao
1287,PER00134,Ông Võ Nguyên Giáp (Phó Thủ Tướng Kiêm Chức),,,Bộ trưởng  Bộ Quốc phòng
1288,PER00135,Ông Dương Quốc Chính (Đến 4-1965),,,Bộ trưởng  Bộ Nông nghiệp
1289,PER00136,Ông Hoàng Anh (Từ 4-1965 Đến 11-1967),,,Bộ trưởng  Bộ Nông nghiệp
1290,PER00137,Ông Nguyễn Văn Lộc (Từ 11-1967 Đến 4-1971),,,Bộ trưởng  Bộ Nông nghiệp
1291,PER00138,Ông Nghiêm Xuân Yêm (Đến 4-1971),,,Bộ trưởng  Bộ Nông trường
1292,PER00139,Ông Hà Kế Tấn,,,Bộ trưởng Chuyên trách   công trình sông Đà
1293,PER00140,Ông Nguyễn Văn Trân (Đến 2-1967),,,Bộ trưởng  Bộ Công nghiệp nặng
1294,PER00141,Ông Lê Thanh Nghị (Phó Thủ Tướng Kiêm Chức Từ 2-1967 Đến 11-1967),,,Bộ trưởng  Bộ Công nghiệp nặng
1295,PER00142,Ông Nguyễn Hữu Mai (Từ 11-1967 Đến 12-1969),,,Bộ trưởng  Bộ Công nghiệp nặng
1296,PER00143,Ông Nguyễn Văn Tạo (Đến 10-1965),,,Bộ trưởng  Bộ Lao động
1297,PER00144,Ông Nguyễn Hữu Khiếu (Từ 10-1965),,,Bộ trưởng  Bộ Lao động
1298,PER00145,Ông Hoàng Anh (Đến 4-1965),,,Bộ trưởng  Bộ Tài chính
1299,PER00146,Ông Đặng Việt Châu (Từ 4-1965),,,Bộ trưởng  Bộ Tài chính
1300,PER00147,Ông Nguyễn Thanh Bình (Đến 10-1966),,,Bộ trưởng  Bộ Nội thương
1301,PER00148,Ông Hoàng Quốc Thịnh (Quyền Bộ Trưởng Từ 10-1966 Đến 11-1967 Là Bộ Trưởng),,,Bộ trưởng  Bộ Nội thương
1302,PER00149,Ông Phạm Ngọc Thạch (Đến 3-1969),,,Bộ trưởng  Bộ Y tế
1303,PER00150,Ông Nguyễn Văn Hưởng (Từ 3-1969),,,Bộ trưởng  Bộ Y tế
1304,PER00151,Ông Nguyễn Duy Trinh (Phó Thủ Tướng Kiêm Chức Đến 4-1965),,,Chủ nhiệm  Ủy ban Kế hoạch Nhà nước
1305,PER00152,Ông Nguyễn Côn (Từ 4-1965),,,Chủ nhiệm  Ủy ban Kế hoạch Nhà nước
1306,PER00153,Ông Nguyễn Văn Kha (Từ 12-1969),,,"Bộ trưởng, Phó Chủ nhiệm   Ủy ban Kế hoạch Nhà nước"
1307,PER00154,Ông Đặng Thí (Từ 12-1969),,,"Bộ trưởng, Phó Chủ nhiệm   Ủy ban Kế hoạch Nhà nước"
1308,PER00155,Ông Nguyễn Lam (Từ 12-1969),,,"Bộ trưởng, Phó Chủ nhiệm   Ủy ban Kế hoạch Nhà nước"
1309,PER00156,"Ông Nguyễn Duy Trinh (Phó Thủ Tướng Kiêm Chức Đến 10-1965, Sau Khi Ủy Ban Khoa Học Nhà Nước Tách Th",,,Chủ nhiệm  Ủy ban Khoa học Nhà nước
1310,PER00157,Ông Trần Đại Nghĩa (Từ 10-1965),,,Chủ nhiệm  Ủy ban Khoa học và Kỹ thuật Nhà nước
1311,PER00158,Ông Nguyễn Lương Bằng (Đến 9-1969),,,Tổng Thanh tra  Ủy ban Thanh tra của Chính phủ
1312,PER00159,Ông Nguyễn Thanh Bình (Từ 12-1969),,,Chủ nhiệm  Ủy ban Thanh tra Chính phủ (thành lập 12-1969)
1313,PER00160,Ông Trần Đại Nghĩa,,,Chủ nhiệm  Khoa học Kỹ thuật Nhà nước
1314,PER00161,Ông Tạ Hoàng Cơ,,,Tổng giám đốc  Ngân hàng  Nhà nước Việt Nam
1315,PER00162,"Ông Nguyễn Hữu Mai (Từ 12-1969, Sau Khi Thành Lập Bộ)",,,Bộ trưởng   Bộ Điện và Than
1316,PER00163,"Ông Đinh Đức Thiện (Từ 12-1969, Sau Khi Thành Lập Bộ)",,,Bộ trưởng  Bộ Cơ khí và Luyện kim
